ID,ter1,ter2,ter3,ter4,tier_region,ownd,kids,Binary Kids,inc,sex,wlth,hv,Log[hv],incmed,Log[incmed],incavg,low,npro,gifdol,gifl,gifr,mdon,lag,gifa,donr,Weight,Binary Donr,damt,part,Validation,Home PCA,Donation PCA1,Donation PCA2,H1_1,H1_2,H1_3,Neural Net Probability( donr=0 ),Neural Net Probability( donr=1 ),Neural Net Most Likely donr,Neural Net Profit for 0,Neural Net Profit for 1,Neural Net Most Profitable Prediction for donr,Neural Net Expected Profit for donr,Neural Net Actual Profit for donr,Neural Net Weighted Profit,Neural Net Cumulative Profit,NLR Lin[1],NLR Prob[1],NLR Prob[0],NLR Profit for 1,NLR Profit for 0,NLR Most Profitable Prediction for donr,NLR Expected Profit for donr,NLR Actual Profit for donr,NLR Adjusted Profit,NLR Cumulative Adjusted Profit,NLR Most Likely donr,DT Prob(donr==0),DT Prob(donr==1),DT Most Likely donr,DT Profit for 0,DT Profit for 1,DT Most Profitable Prediction for donr,DT Expected Profit for donr,DT Actual Profit for donr,DT Adjusted Profit,DT Cumulative Profit,BF Prob(donr==0),BF Prob(donr==1),BF Most Likely donr,BF Profit for 0,BF Profit for 1,BF Most Profitable Prediction for donr,BF Expected Profit for donr,BF Actual Profit for donr,BF Adjusted Profit,BF Cumulative Profit,BT Prob(donr==1),BT Prob(donr==0),BT Most Likely donr,BT Profit for 0,BT Profit for 1,BT Most Profitable Prediction for donr,BT Expected Profit for donr,BT Actual Profit for donr,BT Adjusted Profit,BT Cumulative Profit,CLASSIFICATION MODEL,DT 21 damt Predictor,BT damt Predictor,BF damt Predictor,Linear Pred Formula damt,damt Avg Predictor,damt FINAL Predictor,Cumulative Predicted Donation Amount
630,0,1,0,0,2,1,0,0,4,0,8,311,5.739792912,112,4.718498871,112,0,19,44,11,8,17,5,5.72,NA,1,0,,test,2,3.945760844,-1.321171701,-1.375097886,-0.921646843,0.765292379,0.448950828,0.000776869,0.999223131,1,0,12.4887354,1,12.4887354,,,,7.927503972,0.999639444,0.000360556,12.49477194,0,1,12.49477194,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.090749284,0.909250716,1,0,11.18413538,1,11.18413538,,,,0.988636699,0.011363301,1,0,12.33523214,1,12.33523214,,,,1,13.89072848,14.58239294,13.31502631,16.20004911,14.49704921,13.28506232,13.28506232
2246,0,1,0,0,2,1,0,0,4,0,9,229,5.433722004,76,4.33073334,76,7,18,47,9,9,18,7,6.43,NA,1,0,,test,2,1.623874083,-1.249356063,-1.390750406,-0.852105394,0.749616686,0.332406113,0.000683415,0.999316585,1,0,12.49009048,1,12.49009048,,,,6.503768729,0.998504456,0.001495544,12.47831461,0,1,12.47831461,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.088003156,0.911996844,1,0,11.22395424,1,11.22395424,,,,0.988636699,0.011363301,1,0,12.33523214,1,12.33523214,,,,1,13.89072848,14.48958543,13.54641709,15.15317439,14.26997635,13.41453722,26.69959955
5396,0,1,0,0,2,1,0,0,4,0,9,254,5.537334267,106,4.663439094,106,0,78,138,6,7,13,5,7.71,NA,1,0,,test,2,3.29987409,-0.996572283,0.73325415,-0.954641087,0.595593909,0.512187938,0.00179757,0.99820243,1,0,12.47393524,1,12.47393524,,,,8.665211793,0.999827547,0.000172453,12.49749943,0,1,12.49749943,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.086526468,0.913473532,1,0,11.24536622,1,11.24536622,,,,0.988636699,0.011363301,1,0,12.33523214,1,12.33523214,,,,1,13.89072848,15.65549968,14.06876023,17.7135349,15.33213082,14.33051774,41.03011729
6490,0,1,0,0,2,1,0,0,4,0,9,222,5.402677382,60,4.094344562,75,4,57,109,5,6,15,6,5.5,NA,1,0,,test,2,1.32621533,-1.350490694,0.059636672,-0.907980559,0.670767504,0.408139599,0.000987434,0.999012566,1,0,12.4856822,1,12.4856822,,,,7.353121677,0.999359821,0.000640179,12.4907174,0,1,12.4907174,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.083731505,0.916268495,1,0,11.28589318,1,11.28589318,,,,0.988636699,0.011363301,1,0,12.33523214,1,12.33523214,,,,1,13.89072848,15.0421376,13.50853821,16.40060669,14.71050274,13.8995844,54.92970168
1239,0,1,0,0,2,1,0,0,4,1,8,153,5.030437921,66,4.189654742,66,5,43,55,17,16,18,6,15.31,NA,1,0,,test,2,0.747964821,0.066567375,-0.964663488,-0.848282259,0.839639581,0.41749106,0.000824537,0.999175463,1,0,12.48804421,1,12.48804421,,,,6.631464243,0.998683504,0.001316496,12.48091081,0,1,12.48091081,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.083136932,0.916863068,1,0,11.29451449,1,11.29451449,,,,0.988021578,0.011978422,1,0,12.32631288,1,12.32631288,,,,1,13.89072848,15.68744576,15.06837389,16.18392548,15.2076184,15.30014203,70.22984371
7202,0,1,0,0,2,1,0,0,4,1,6,166,5.111987788,43,3.761200116,48,5,80,128,7,8,19,7,3.92,NA,1,0,,test,2,-0.022397805,-1.267467065,0.752900322,-0.813898765,0.899308688,0.229783888,0.000261081,0.999738919,1,0,12.49621432,1,12.49621432,,,,6.862626224,0.99895493,0.00104507,12.48484649,0,1,12.48484649,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.089500756,0.910499244,1,0,11.20223904,1,11.20223904,,,,0.988021578,0.011978422,1,0,12.32631288,1,12.32631288,,,,1,13.89072848,15.40618979,13.57439733,16.44497757,14.82907329,13.39661527,83.62645898
1533,0,1,0,0,2,1,0,0,4,1,9,176,5.170483995,26,3.258096538,45,15,50,72,14,13,15,4,10.55,NA,1,0,,test,2,-0.716490366,-0.494795372,-0.556723553,-0.882830503,0.669900564,0.434683921,0.001416496,0.998583504,1,0,12.47946081,1,12.47946081,,,,6.538126057,0.998554893,0.001445107,12.47904595,0,1,12.47904595,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.072107168,0.927892832,1,0,11.45444607,1,11.45444607,,,,0.987427458,0.012572542,1,0,12.31769814,1,12.31769814,,,,1,13.89072848,14.72403948,14.14817064,16.67003989,14.85824462,14.07790548,97.70436446
4262,0,1,0,0,2,1,0,0,4,1,9,129,4.859812404,36,3.583518938,44,10,57,65,13,12,14,5,5.42,NA,1,0,,test,2,-0.681630053,-0.996009098,-0.354310065,-0.888730254,0.588337199,0.425114778,0.00178442,0.99821558,1,0,12.4741259,1,12.4741259,,,,6.5033754,0.998503869,0.001496131,12.4783061,0,1,12.4783061,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.074404755,0.925595245,1,0,11.42113105,1,11.42113105,,,,0.987427458,0.012572542,1,0,12.31769814,1,12.31769814,,,,1,13.89072848,14.70305563,12.917428,15.68070213,14.29797856,13.21029086,110.9146553
5472,0,1,0,0,2,1,0,0,4,1,8,157,5.056245805,34,3.526360525,50,9,74,129,20,18,18,3,8.5,NA,1,0,,test,2,-0.367417282,-0.168013336,0.43880741,-0.873437646,0.888799691,0.468778156,0.000764283,0.999235717,1,0,12.4889179,1,12.4889179,,,,7.299182067,0.999324365,0.000675635,12.4902033,0,1,12.4902033,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.069899273,0.930100727,1,0,11.48646054,1,11.48646054,,,,0.987427458,0.012572542,1,0,12.31769814,1,12.31769814,,,,1,13.89072848,15.43492134,14.07054371,16.97027796,15.09161787,14.10740191,125.0220572
6166,0,1,0,0,2,1,0,0,4,1,9,140,4.941642423,35,3.555348061,46,9,12,34,18,13,14,4,11.57,NA,1,0,,test,2,-0.5491899,-0.483711063,-1.769133395,-0.882569551,0.515211984,0.420936438,0.002461567,0.997538433,1,0,12.46430728,1,12.46430728,,,,6.133056549,0.99783476,0.00216524,12.46860402,0,1,12.46860402,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.091634159,0.908365841,1,0,11.17130469,1,11.17130469,,,,0.987427458,0.012572542,1,0,12.31769814,1,12.31769814,,,,1,13.89072848,14.53610967,13.93703013,15.44754451,14.4528532,13.75905806,138.7811153
2186,0,1,0,0,2,1,0,0,4,1,9,120,4.787491743,23,3.135494216,31,39,48,73,14,12,15,6,10.6,NA,1,0,,test,2,-2.295222234,-0.540382796,-0.587921948,-0.820972807,0.65551886,0.356958498,0.001487723,0.998512277,1,0,12.47842802,1,12.47842802,,,,5.625183558,0.996407055,0.003592945,12.44790229,0,1,12.44790229,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.074470727,0.925529273,1,0,11.42017445,1,11.42017445,,,,0.986565916,0.013434084,1,0,12.30520578,1,12.30520578,,,,1,13.89072848,14.72403948,14.21507644,15.54658418,14.59410715,14.26985456,153.0509698
6698,1,0,0,0,1,1,0,0,4,1,9,145,4.976733742,34,3.526360525,36,9,141,2057,49,39,17,5,23.6,NA,1,0,,test,2,-0.748124056,6.073902287,16.90757139,-0.966624508,0.992147407,0.637511459,0.000699139,0.999300861,1,0,12.48986249,1,12.48986249,,,,12.61326671,0.999996672,3.33E-06,12.49995175,0,1,12.49995175,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.106587984,0.893412016,1,0,10.95447424,1,10.95447424,,,,0.98178536,0.01821464,1,0,12.23588772,1,12.23588772,,,,1,15.88888889,15.58973954,15.96967254,17.65265887,16.27523996,16.16440532,169.2153752
7339,1,0,0,0,1,1,0,0,4,1,9,153,5.030437921,35,3.555348061,51,4,72,131,131,36,24,6,24.27,NA,1,0,,test,2,-0.179728753,4.167508837,-0.207359906,-0.612788283,0.915041298,0.139689591,0.00065102,0.99934898,1,0,12.49056021,1,12.49056021,,,,4.708874523,0.991065625,0.008934375,12.37045156,0,1,12.37045156,,,,1,0.05432851,0.94567149,1,0,11.7122366,1,11.7122366,,,,0.101459555,0.898540445,1,0,11.02883646,1,11.02883646,,,,0.980457617,0.019542383,1,0,12.21663544,1,12.21663544,,,,1,15.88888889,15.58928907,15.99876882,15.39141798,15.71709119,15.67151123,184.8868864
